transaction_id,customer_id,province,age_group,account_type,merchant,category,amount,currency,status,txn_date,txn_month,txn_year
002f090d-5e70-4c82-9972-876b04756902,2c181008-f179-4368-918b-325745c9342a,BC,55+,savings,Tim Hortons,food_and_drink,107.66,CAD,completed,2025-04-23,2025-04,2025
79836b79-50e5-4118-9681-db11f41472d4,7e15c4ac-43ec-4aff-b986-cfa784b7cc2c,BC,26-35,premium,Notion,subscriptions,25.9,CAD,completed,2025-03-04,2025-03,2025
fea5c4b2-5827-46a0-a138-1280f4779c84,81a13af3-cec9-4557-971f-aed12dc25dc3,SK,55+,premium,Petro-Canada,transport,64.61,CAD,pending,2025-11-01,2025-11,2025
26376e4c-b85b-4b09-b4bd-f620168e7ffd,802c01c4-b599-47ed-8b60-ab396b02f86a,MB,26-35,premium,Booking.com,travel,1244.67,CAD,completed,2025-10-08,2025-10,2025
b61f5983-a14c-420a-ab88-029e0fbf7720,e5bbf215-2c43-472d-959c-090331858592,MB,55+,chequing,Esso,transport,60.13,CAD,completed,2025-05-13,2025-05,2025
5eac5f04-843c-46f6-8d46-be68988ead65,5a9dc319-db67-4953-a13a-bf11fb177769,BC,26-35,premium,Steam,entertainment,169.25,CAD,pending,2025-09-06,2025-09,2025
7a46ee8b-00f9-47e4-926a-4073c0d0b316,c8b2971f-ac86-4fc1-b9c2-6cd422a54f82,BC,26-35,savings,Netflix,entertainment,60.72,CAD,failed,2025-05-27,2025-05,2025
92c00dac-e6d7-4888-b91c-a8abe217e1a1,9461552b-e3cc-4169-95f2-9c8a0d6e549b,MB,36-45,savings,City of Victoria,utilities,103.89,CAD,completed,2025-03-12,2025-03,2025
ed7f1c61-c79d-428d-815a-2b5c5e03633a,3022c1ea-9ebf-4baa-97ab-0626a979852f,QC,26-35,savings,Cineplex,entertainment,81.54,CAD,failed,2025-04-20,2025-04,2025
f21151e8-6a39-4cbb-a141-e2479838b9a7,74e48d4c-9aa3-4fdd-8bb3-760ce3660889,BC,46-55,premium,Sport Chek,shopping,334.97,CAD,completed,2025-08-01,2025-08,2025
a89d360b-106e-4bfe-ad0d-9fc717a8f159,bb645250-f484-4800-9fcb-ed2c0d78b677,AB,55+,savings,Spotify,entertainment,167.92,CAD,pending,2025-12-23,2025-12,2025
5080362d-0a30-43ba-a280-bcd597cfa621,500b2c35-ea66-46b6-bf76-39aad25847cb,BC,18-25,chequing,Interac e-Transfer,transfers,1908.1,CAD,completed,2025-06-02,2025-06,2025
d8b4c7d1-d6a7-411a-a492-f0eadf4b85f4,5a9dc319-db67-4953-a13a-bf11fb177769,BC,26-35,premium,H&M,shopping,684.96,CAD,pending,2025-10-07,2025-10,2025
ab6db1be-0855-49ed-9d80-286ef2f593f6,479f6414-fb31-41fd-a584-87ea1c39501c,ON,36-45,savings,Steam,entertainment,101.74,CAD,completed,2025-09-06,2025-09,2025
4039fb3a-3e33-4c6a-be6c-f1576fd5a845,85665b2c-570a-4a6b-90d6-02bf5b697f43,BC,55+,chequing,H&M,shopping,278.86,CAD,failed,2025-03-26,2025-03,2025
2596ade0-1cf6-4b1a-853b-7ffd174c1436,bf24730a-3e3c-4b7d-835d-8a7e46400ad7,AB,46-55,chequing,Petro-Canada,transport,78.51,CAD,completed,2025-07-21,2025-07,2025
827081fe-5b6f-4f8b-b653-91d54327db3e,d4a16e7e-aeea-49e5-91a1-4c8147039391,QC,55+,premium,Interac e-Transfer,transfers,3318.37,CAD,failed,2025-08-08,2025-08,2025
37864f1b-5872-42ac-8dae-e5634f588c87,30f5c9e4-b62e-4c86-904b-e70f6086196e,QC,36-45,chequing,Airbnb,travel,404.37,CAD,completed,2025-06-17,2025-06,2025
b1e23659-7878-4d8c-80cf-794634da5ac3,f211a289-afb8-47fd-85fb-afcb0bfc998f,BC,36-45,premium,Expedia,travel,687.35,CAD,completed,2025-08-04,2025-08,2025
6003480c-ee38-4096-b181-9088677a6024,a90b07a2-2b01-4ba3-8d0e-3f257f512b8f,BC,46-55,chequing,Loblaws,groceries,146.39,CAD,completed,2025-06-29,2025-06,2025
9583b96b-d58d-4071-8568-bdf0aaa3f383,4d7db4be-b0e6-4447-bf86-64c722ae644b,MB,55+,chequing,Walmart,groceries,236.56,CAD,completed,2025-05-07,2025-05,2025
e6406a40-65f8-45d7-b8eb-40272710cc11,45ea6f34-6504-408a-92f7-dc07c7bf84aa,MB,36-45,premium,McDonald's,food_and_drink,76.45,CAD,completed,2025-08-31,2025-08,2025
b6f8484b-4bc0-4146-a4e0-76ace756d008,452bf7b3-e2e7-481f-823a-ebdc759eb8be,AB,18-25,premium,Costco,groceries,173.55,CAD,completed,2025-12-25,2025-12,2025
cac8c267-f349-47c2-8581-03776aeede27,f7445081-490d-4c3d-8e30-2f4a9a86c86e,MB,26-35,chequing,Shoppers Drug Mart,healthcare,100.54,CAD,completed,2025-06-09,2025-06,2025
ea6470a9-7504-4c92-812a-86d02bb82343,83c00b63-1c0d-4d2f-a980-0b6d34d0bd5e,SK,18-25,premium,Wise,transfers,138.14,CAD,pending,2025-12-13,2025-12,2025
3d684505-0afa-482a-8b43-fca0854046d1,84499b86-7bd3-404d-a3d4-b02abf04f7db,BC,26-35,chequing,Best Buy,shopping,754.05,CAD,completed,2025-10-31,2025-10,2025
edbb899c-8a24-46f2-b754-3dd06fcbb34f,067c5c96-7bd6-4758-8942-f84937906c93,SK,18-25,premium,Steam,entertainment,27.57,CAD,failed,2025-11-04,2025-11,2025
c5aa4c4f-fc4b-422a-b1b4-2ae556e3125c,688a0137-f640-4e68-8bb9-10d9e06250ee,QC,46-55,savings,Wise,transfers,3915.35,CAD,pending,2025-08-08,2025-08,2025
368c1f0a-a1ed-4a63-9452-69d569475767,f55aea35-7120-4981-b38a-6a203659b9f2,MB,55+,chequing,Pharmasave,healthcare,53.1,CAD,completed,2025-08-04,2025-08,2025
eca55be9-f037-4ad1-a376-45ce5d25bda5,97b89bc4-72d2-4a2d-aa07-6383b6206cdc,ON,36-45,chequing,Safeway,groceries,135.72,CAD,failed,2025-08-24,2025-08,2025
7d2308d5-3cd3-4d2a-8664-18463930043b,0689aa68-3e75-4dc7-b04a-fabdea18be59,SK,46-55,premium,Petro-Canada,transport,36.25,CAD,failed,2025-05-19,2025-05,2025
b4c2f0d2-d840-4f52-9c3d-bf81b29e639a,3e80a775-4dbd-4f99-9489-fc6135faebe6,BC,46-55,chequing,AWS,subscriptions,39.86,CAD,completed,2025-10-31,2025-10,2025
9eabc43f-78a3-400a-9768-6885f6b1a785,82a18815-f47e-42b0-a727-a3b8c66e1b9b,MB,46-55,chequing,Shoppers Drug Mart,healthcare,428.82,CAD,completed,2025-08-19,2025-08,2025
3bbda7fa-0303-4ff9-8b01-99311afa580d,13a9cafc-9078-410a-b3ef-7f68ab25acd7,AB,26-35,chequing,Expedia,travel,1161.21,CAD,completed,2025-01-15,2025-01,2025
61c582fd-3e37-4a07-b5c9-17d5d2a81657,e2683a80-134c-4884-aeed-97dfb59d286e,ON,36-45,savings,London Drugs,healthcare,107.28,CAD,completed,2025-05-13,2025-05,2025
9cdaf932-c2d8-42bf-a79c-37f1315e2222,69271f80-1230-46b4-9863-ef942d7eff20,SK,18-25,premium,Shaw,utilities,223.67,CAD,pending,2025-01-06,2025-01,2025
a2346adf-cc90-4124-81c0-e336cedc2b85,81fdda79-01ca-4b58-9e6c-3689b886968b,AB,18-25,chequing,Spotify,entertainment,24.44,CAD,completed,2025-10-12,2025-10,2025
1914b194-321c-4316-843f-db3d98ac1607,5bf79b11-a438-498b-984f-0104d3183224,ON,18-25,chequing,Spotify,entertainment,140.6,CAD,completed,2025-01-09,2025-01,2025
0a99852f-321c-4ae7-943f-b3881b5fd063,499d6110-5baa-43c6-9316-6302b8d44490,QC,36-45,savings,Telus,utilities,78.75,CAD,completed,2025-12-06,2025-12,2025
e1983347-da54-4947-8b57-3578fc0d0da0,acdd7de1-8bda-449f-8336-d4cb91a92378,AB,18-25,savings,Pharmasave,healthcare,247.17,CAD,completed,2025-10-09,2025-10,2025
b55d9faf-6223-43dc-a9c5-df8343bba7f9,b8bc6638-1829-40c4-a51e-d1897211a9c6,ON,18-25,chequing,Pharmasave,healthcare,357.37,CAD,completed,2025-05-09,2025-05,2025
199693dc-dca9-4559-b1c4-7efbfae791b3,0921cb42-7d9c-4dce-809d-6684cc9baefc,MB,55+,chequing,Safeway,groceries,219.17,CAD,completed,2025-10-02,2025-10,2025
74ea7d3d-ec08-4e87-8aba-b4ce1a6525a0,9300c72f-ee87-4af0-b96a-70864c472e6a,ON,46-55,premium,Esso,transport,17.34,CAD,completed,2025-10-29,2025-10,2025
fcd82b6c-db43-432a-bd60-217abd74e2d3,5bf79b11-a438-498b-984f-0104d3183224,ON,18-25,chequing,Adobe,subscriptions,31.86,CAD,completed,2025-06-01,2025-06,2025
b33472af-a55a-4d0b-b2ac-5cc8a452e996,d37d0eb1-6155-4615-98df-e63bda8f18c1,ON,36-45,chequing,Shoppers Drug Mart,healthcare,106.13,CAD,failed,2025-10-01,2025-10,2025
cf572bbe-0479-4ca9-b5a1-d2e7bfb13607,f4a3a552-cee4-4b0a-818a-a9d41c03e05a,SK,36-45,chequing,BC Hydro,utilities,40.01,CAD,pending,2025-05-30,2025-05,2025
a4173531-7ff0-4203-a5df-c23b8faf64ae,aa23acf9-bcb9-4156-bf68-b90e6dac4e5d,SK,46-55,savings,Esso,transport,51.93,CAD,completed,2025-01-07,2025-01,2025
